RepRapFirmware height map file v2 generated at 2024-04-03 12:33, min error -1.835, max error 2.718, mean -0.681, deviation 1.046
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,20.43,24.28,24,8
  0.138, -0.159, -0.396, -0.631, -0.856, -1.055, -1.253, -1.422, -1.518, -1.572, -1.618, -1.639, -1.639, -1.618, -1.572, -1.484, -1.351, -1.145, -0.920, -0.663, -0.350,  0.103,  0.443,  0.755
 -0.342, -0.599, -0.844, -1.073, -1.386, -1.561, -1.680, -1.765, -1.820, -1.835, -1.835, -1.835, -1.826, -1.783, -1.694, -1.512, -1.286, -0.989, -0.691, -0.367,  0.006,  0.406,  0.790,  0.910
 -0.208, -0.365, -0.552, -0.768, -0.999, -1.211, -1.420, -1.612, -1.736, -1.786, -1.807, -1.792, -1.756, -1.724, -1.644, -1.504, -1.275, -1.012, -0.675, -0.260,  0.119,  0.535,  0.913,  1.259
 -0.232, -0.445, -0.638, -0.890, -1.143, -1.348, -1.552, -1.680, -1.756, -1.804, -1.804, -1.783, -1.751, -1.682, -1.578, -1.400, -1.150, -0.744, -0.361,  0.035,  0.452,  0.855,  1.232,  1.461
  0.031, -0.095, -0.252, -0.445, -0.691, -0.920, -1.219, -1.447, -1.581, -1.668, -1.703, -1.703, -1.680, -1.607, -1.484, -1.294, -1.047, -0.723, -0.256,  0.155,  0.575,  1.004,  1.360,  1.690
  0.126, -0.101, -0.346, -0.622, -0.895, -1.119, -1.318, -1.541, -1.659, -1.724, -1.742, -1.721, -1.665, -1.566, -1.400, -1.163, -0.878, -0.522, -0.112,  0.442,  0.883,  1.315,  1.685,  1.980
  0.457,  0.296,  0.073, -0.186, -0.533, -0.794, -1.047, -1.307, -1.504, -1.604, -1.659, -1.665, -1.607, -1.518, -1.362, -1.132, -0.723, -0.357,  0.073,  0.514,  0.979,  1.434,  1.820,  2.275
  0.654,  0.371,  0.064, -0.280, -0.627, -0.912, -1.150, -1.362, -1.541, -1.668, -1.709, -1.688, -1.592, -1.428, -1.192, -0.898, -0.537, -0.105,  0.363,  0.835,  1.319,  1.845,  2.442,  2.718
coefficients,
Scanning probe coefficients [2.564e-2, -1.856e-3, 6.600e-7, -1.087e-10], reading at trigger height 10024, rms error 0.066mm

RepRapFirmware height map file v2 generated at 2024-04-04 17:20, min error -1.943, max error 7.810, mean -0.416, deviation 1.302
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,20.43,24.28,24,8
  0.238, -0.182, -0.466, -0.730, -0.973, -1.189, -1.470, -1.667, -1.803, -1.854, -1.875, -1.878, -1.875, -1.854, -1.808, -1.744, -1.598, -1.337, -1.085, -0.806, -0.490, -0.141,  0.170,  0.459
 -0.308, -0.581, -0.829, -1.071, -1.343, -1.582, -1.744, -1.878, -1.934, -1.943, -1.926, -1.917, -1.887, -1.837, -1.737, -1.582, -1.343, -1.049, -0.703, -0.223,  0.174,  0.530,  0.809,  0.829
 -0.047, -0.209, -0.404, -0.633, -0.942, -1.195, -1.424, -1.614, -1.732, -1.794, -1.808, -1.791, -1.761, -1.711, -1.619, -1.459, -1.117, -0.773, -0.358,  0.071,  0.466,  0.800,  1.060,  1.264
  0.061, -0.158, -0.376, -0.636, -0.932, -1.191, -1.382, -1.533, -1.646, -1.709, -1.711, -1.688, -1.651, -1.580, -1.446, -1.225, -0.861, -0.392,  0.116,  0.600,  0.979,  1.327,  1.527,  1.621
  0.464,  0.342,  0.095, -0.123, -0.387, -0.652, -0.940, -1.200, -1.385, -1.486, -1.535, -1.533, -1.497, -1.435, -1.262, -1.029, -0.679, -0.216,  0.287,  0.776,  1.145,  1.430,  1.653,  1.859
  0.632,  0.410,  0.173, -0.123, -0.451, -0.741, -0.987, -1.189, -1.337, -1.430, -1.466, -1.461, -1.400, -1.284, -1.091, -0.808, -0.434,  0.046,  0.589,  1.062,  1.450,  1.733,  1.992,  2.298
  1.044,  0.897,  0.651,  0.376,  0.071, -0.249, -0.546, -0.838, -1.063, -1.195, -1.269, -1.303, -1.248, -1.119, -0.922, -0.645, -0.260,  0.139,  0.611,  1.066,  1.467,  1.794,  2.185,  3.602
  1.360,  1.039,  0.737,  0.359, -0.028, -0.353, -0.608, -0.838, -1.029, -1.132, -1.191, -1.206, -1.138, -0.946, -0.717, -0.437, -0.067,  0.367,  0.826,  1.265,  1.684,  2.147,  3.686,  7.810
