Range
0.054, 0.051, 0.037, 0.055, 0.104, 0.089, 0.102, 0.086, 0.116, 0.115, 0.172, 0.141, 0.126, 0.112, 0.131, 0.130, 0.128, 0.121, 0.143, 0.131, 0.150, 0.177, 0.203, 0.231, 
0.143, 0.095, 0.130, 0.090, 0.129, 0.100, 0.117, 0.141, 0.112, 0.140, 0.116, 0.092, 0.087, 0.098, 0.113, 0.104, 0.115, 0.108, 0.144, 0.168, 0.178, 0.153, 0.149, 0.184, 
0.098, 0.091, 0.072, 0.094, 0.092, 0.090, 0.094, 0.102, 0.130, 0.117, 0.127, 0.113, 0.098, 0.169, 0.118, 0.133, 0.143, 0.154, 0.143, 0.172, 0.176, 0.213, 0.199, 0.202, 
0.169, 0.154, 0.155, 0.180, 0.130, 0.143, 0.143, 0.156, 0.142, 0.156, 0.141, 0.141, 0.116, 0.104, 0.129, 0.143, 0.136, 0.143, 0.107, 0.164, 0.171, 0.165, 0.158, 0.150, 
0.182, 0.150, 0.141, 0.109, 0.131, 0.107, 0.140, 0.143, 0.183, 0.148, 0.157, 0.143, 0.156, 0.156, 0.169, 0.156, 0.155, 0.202, 0.176, 0.172, 0.166, 0.192, 0.192, 0.173, 
0.155, 0.189, 0.215, 0.176, 0.178, 0.180, 0.181, 0.182, 0.182, 0.183, 0.182, 0.183, 0.183, 0.156, 0.182, 0.180, 0.179, 0.177, 0.172, 0.177, 0.159, 0.177, 0.158, 0.147, 
0.130, 0.115, 0.108, 0.119, 0.130, 0.142, 0.143, 0.180, 0.130, 0.156, 0.182, 0.182, 0.181, 0.156, 0.156, 0.164, 0.188, 0.173, 0.187, 0.178, 0.173, 0.179, 0.150, 0.132, 
0.093, 0.129, 0.134, 0.185, 0.140, 0.131, 0.154, 0.155, 0.167, 0.176, 0.155, 0.181, 0.180, 0.180, 0.167, 0.165, 0.173, 0.168, 0.160, 0.158, 0.134, 0.140, 0.111, 0.071, 
