Range
0.271, 0.941, 1.680, 1.935, 1.927, 1.574, 0.678, 0.872, 
0.530, 1.480, 1.859, 2.014, 1.965, 1.423, 0.447, 1.126, 
0.673, 1.222, 1.786, 2.034, 1.922, 1.476, 0.443, 1.589, 
0.617, 1.442, 1.899, 2.111, 1.996, 1.369, 0.187, 2.105, 
0.213, 1.069, 1.864, 2.126, 2.030, 1.382, 0.222, 3.133, 
0.169, 1.312, 1.981, 2.258, 2.070, 1.370, 0.826, 3.838, 
