RepRapFirmware height map file v2 generated at 2024-04-18 16:41, min error -1.682, max error 3.992, mean 0.262, deviation 1.349
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,78.33,42.50,7,5
  0.033, -0.784, -1.531, -1.682, -1.356, -0.335,  0.995
  0.213, -0.667, -1.401, -1.382, -0.976,  0.255,  1.649
  0.713, -0.058, -0.840, -1.031, -0.489,  0.835,  2.330
  1.328,  0.366, -0.500, -0.685, -0.034,  1.366,  3.133
  2.089,  1.066,  0.089, -0.217,  0.549,  2.126,  3.992
