Range
0.032, 0.067, 0.110, 0.152, 0.147, 0.148, 0.160, 
0.109, 0.132, 0.137, 0.165, 0.167, 0.174, 0.160, 
0.145, 0.135, 0.137, 0.143, 0.171, 0.180, 0.138, 
0.119, 0.140, 0.136, 0.151, 0.176, 0.176, 0.147, 
0.111, 0.126, 0.152, 0.142, 0.160, 0.178, 0.152, 
