RepRapFirmware height map file v2 generated at 2024-04-18 16:31, min error -1.691, max error 3.975, mean 0.252, deviation 1.350
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,78.33,42.50,7,5
  0.025, -0.785, -1.540, -1.691, -1.369, -0.348,  0.962
  0.216, -0.682, -1.418, -1.399, -1.005,  0.221,  1.618
  0.721, -0.066, -0.846, -1.038, -0.493,  0.821,  2.322
  1.310,  0.365, -0.523, -0.684, -0.052,  1.349,  3.129
  2.121,  1.069,  0.084, -0.224,  0.555,  2.115,  3.975
coefficients,
