RepRapFirmware height map file v2 generated at 2024-04-18 16:35, min error -1.677, max error 3.997, mean 0.264, deviation 1.350
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,78.33,42.50,7,5
  0.003, -0.783, -1.527, -1.677, -1.350, -0.345,  0.968
  0.213, -0.672, -1.404, -1.397, -0.996,  0.225,  1.617
  0.751, -0.052, -0.830, -1.024, -0.477,  0.843,  2.329
  1.329,  0.376, -0.506, -0.670, -0.027,  1.370,  3.138
  2.126,  1.082,  0.116, -0.200,  0.575,  2.120,  3.997
