RepRapFirmware height map file v2 generated at 2024-04-18 16:22, min error -1.713, max error 3.950, mean 0.233, deviation 1.349
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,40.00,510.00,40.00,210.00,-1.00,78.33,42.50,7,5
  0.018, -0.795, -1.556, -1.713, -1.397, -0.383,  0.949
  0.182, -0.693, -1.431, -1.429, -1.029,  0.201,  1.594
  0.701, -0.079, -0.863, -1.052, -0.520,  0.809,  2.290
  1.303,  0.339, -0.537, -0.708, -0.064,  1.325,  3.098
  2.112,  1.048,  0.081, -0.222,  0.540,  2.082,  3.950
coefficients,
